Table with row headers in column A and column headers in rows 12 through 13.,,,,,,,,
"Census 2000 PHC-T-28.  Employment Status of the Population in Households for the United States, States, Counties, Places, and for Puerto Rico:  2000",,,,,,,,
,,,,,,,,
"Table 1.  Employment Status of the Population 16 Years Old and Over in Households for the United States, States, Counties, and for Puerto Rico: 2000",,,,,,,,
,,,,,,,,
Note:  Numbers rounded to 10's.,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000, special tabulation.",,,,,,,,
"Internet release date:  October 6, 2003",,,,,,,,
"Last Revised:  November 4, 2003",,,,,,,,
"Note:  This houshold-only county file was reposted on November 4, 2003, to correct errors in the estimates for several counties in Puerto Rico.  An error in the county codes for Puerto Rico caused the previous version's estimates to be switched among these municipios: Anasco, Arecibo, Arroyo, Guanica, Guayama, Guayanilla, Guaynabo, and Gurabo.  The estimates have been corrected in this new version.",,,,,,,,
"[Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see, http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,,
"United States
State
County",Total household population 16 and over,Civilian labor force,,,,Armed Forces,Not in labor force,
Vermilion Parish,"39,730","22,680","21,100","1,580",7.0,30,"17,030",
Vernon Parish,"35,230","17,980","16,450","1,530",8.5,"4,180","13,080",
Washington Parish,"31,710","16,340","15,010","1,330",8.1,30,"15,350",
Webster Parish,"31,520","18,020","16,560","1,460",8.1,20,"13,490",
West Baton Rouge Parish,"15,690","9,960","9,400",560,5.6,0,"5,720",
West Carroll Parish,"8,800","4,700","4,140",560,11.9,0,"4,100",
West Feliciana Parish,"7,360","4,620","4,370",260,5.6,0,"2,740",
Winn Parish,"11,430","5,920","5,460",460,7.8,0,"5,510",
Maine,"976,050","643,870","616,270","27,590",4.3,"3,460","328,730",Maine
Androscoggin County,"78,360","52,940","50,710","2,230",4.2,260,"25,160",
Aroostook County,"57,270","34,190","32,150","2,040",6.0,150,"22,930",
Cumberland County,"202,140","140,810","136,620","4,190",3.0,980,"60,350",
Franklin County,"22,250","14,170","13,350",820,5.8,10,"8,070",
Hancock County,"40,490","26,020","24,620","1,400",5.4,240,"14,230",
Kennebec County,"88,870","58,720","56,230","2,490",4.2,170,"29,980",
Knox County,"30,520","19,930","19,250",670,3.4,50,"10,540",
Lincoln County,"26,580","16,850","16,140",710,4.2,50,"9,670",
Oxford County,"42,500","27,040","25,660","1,380",5.1,10,"15,450",
Penobscot County,"109,920","71,240","67,850","3,400",4.8,280,"38,400",
Piscataquis County,"13,630","7,890","7,280",610,7.7,10,"5,730",
Sagadahoc County,"26,920","18,320","17,720",600,3.3,600,"8,000",
Somerset County,"39,160","24,530","23,040","1,490",6.1,20,"14,610",
Waldo County,"28,060","18,160","17,130","1,030",5.7,50,"9,850",
Washington County,"26,310","15,100","13,890","1,210",8.0,120,"11,090",
York County,"143,090","97,950","94,620","3,330",3.4,450,"44,680",
Maryland,"3,954,460","2,707,390","2,589,750","117,640",4.3,"25,300","1,221,770",Maryland
Allegany County,"55,570","31,870","29,790","2,080",6.5,30,"23,670",
Anne Arundel County,"363,740","257,010","249,590","7,420",2.9,"6,540","100,190",
Baltimore City,"482,170","280,760","251,920","28,840",10.3,410,"201,000",
Baltimore County,"578,550","389,820","375,510","14,310",3.7,670,"188,060",
Calvert County,"54,430","38,730","37,560","1,180",3.0,560,"15,140",
Caroline County,"22,300","14,970","14,250",720,4.8,30,"7,300",
Carroll County,"109,910","79,820","78,000","1,820",2.3,140,"29,950",
Cecil County,"63,510","44,680","42,860","1,820",4.1,80,"18,750",
Charles County,"88,150","62,790","60,740","2,060",3.3,"2,010","23,340",
Dorchester County,"23,690","15,000","14,130",880,5.9,40,"8,650",
Frederick County,"142,590","104,720","101,900","2,810",2.7,750,"37,120",
Garrett County,"22,690","13,780","13,040",750,5.4,10,"8,900",
Harford County,"162,600","115,090","111,690","3,400",3.0,"1,370","46,140",
Howard County,"181,880","138,250","135,260","2,990",2.2,"1,020","42,610",
Kent County,"14,350","9,090","8,750",340,3.7,10,"5,240",
Montgomery County,"665,920","472,200","457,970","14,230",3.0,"2,850","190,870",
Prince George's County,"591,740","417,900","395,160","22,740",5.4,"6,360","167,480",
Queen Anne's County,"30,930","21,770","21,180",590,2.7,50,"9,120",
Somerset County,"15,720","9,610","8,990",630,6.6,20,"6,100",
St. Mary's County,"61,890","42,790","41,080","1,710",4.0,"2,000","17,100",
Talbot County,"26,590","16,640","16,130",510,3.1,10,"9,940",
Washington County,"95,070","63,230","61,280","1,950",3.1,170,"31,670",
Wicomico County,"63,070","43,810","41,480","2,340",5.3,130,"19,120",
Worcester County,"37,420","23,060","21,510","1,550",6.7,40,"14,330",
Massachusetts,"4,792,120","3,234,250","3,105,940","128,300",4.0,"4,610","1,553,260",Massachusetts
Barnstable County,"176,510","104,680","99,980","4,700",4.5,670,"71,160",
Berkshire County,"102,600","66,880","63,840","3,040",4.5,10,"35,700",
Bristol County,"404,450","270,000","256,690","13,320",4.9,290,"134,160",
Dukes County,"11,760","8,130","7,910",220,2.7,0,"3,620",
Essex County,"543,890","361,410","347,580","13,820",3.8,240,"182,250",
Franklin County,"55,620","39,120","37,440","1,670",4.3,60,"16,450",
Hampden County,"336,740","214,640","202,990","11,650",5.4,420,"121,680",
Hampshire County,"108,040","77,430","74,630","2,810",3.6,140,"30,460",
Middlesex County,"1,117,860","783,570","759,390","24,170",3.1,"1,530","332,770",
Nantucket County,"7,070","5,440","5,310",130,2.4,10,"1,610",
Norfolk County,"495,920","343,840","334,230","9,620",2.8,300,"151,780",
Plymouth County,"348,570","244,080","234,900","9,180",3.8,310,"104,180",
Suffolk County,"529,030","338,680","319,300","19,380",5.7,130,"190,220",
Worcester County,"554,070","376,350","361,760","14,590",3.9,500,"177,230",
Michigan,"7,387,580","4,857,110","4,595,450","261,670",5.4,"3,750","2,526,720",Michigan
Alcona County,"9,570","4,290","3,900",390,9.1,0,"5,280",
Alger County,"7,110","4,100","3,780",320,7.8,0,"3,010",
Allegan County,"77,230","53,950","51,860","2,090",3.9,10,"23,270",
Alpena County,"24,260","14,790","13,760","1,030",7.0,110,"9,360",
Antrim County,"17,850","10,670","10,010",660,6.2,0,"7,180",
Arenac County,"12,980","7,140","6,580",560,7.8,0,"5,840",
Baraga County,"6,230","3,800","3,500",290,7.6,0,"2,440",
Barry County,"42,630","28,770","27,500","1,270",4.4,30,"13,840",
Bay County,"84,900","53,810","50,610","3,200",5.9,60,"31,040",
Benzie County,"12,470","7,720","7,240",470,6.1,10,"4,750",
Berrien County,"121,190","79,420","75,350","4,070",5.1,50,"41,720",
Branch County,"32,280","21,930","20,920","1,010",4.6,10,"10,340",
Calhoun County,"102,480","65,760","62,190","3,570",5.4,120,"36,610",
Cass County,"38,960","25,790","24,680","1,110",4.3,10,"13,160",
Charlevoix County,"19,810","12,710","11,980",730,5.7,50,"7,040",
Cheboygan County,"20,640","11,890","10,250","1,640",13.8,80,"8,670",
Chippewa County,"25,360","15,990","14,620","1,370",8.6,130,"9,250",
Clare County,"23,940","12,730","11,650","1,070",8.4,0,"11,210",
Clinton County,"48,130","33,880","32,860","1,020",3.0,50,"14,200",
Crawford County,"10,750","6,330","5,860",470,7.4,10,"4,410",
Delta County,"30,090","18,770","17,450","1,320",7.0,10,"11,320",
Dickinson County,"20,970","13,050","12,330",720,5.5,10,"7,920",
Eaton County,"78,210","55,200","53,110","2,080",3.8,110,"22,900",
Emmet County,"23,810","16,220","15,120","1,110",6.8,10,"7,580",
Genesee County,"324,150","206,480","192,320","14,170",6.9,50,"117,620",
Gladwin County,"20,410","10,550","9,720",840,8.0,0,"9,850",
Gogebic County,"13,330","7,270","6,690",580,8.0,0,"6,060",
Grand Traverse County,"58,540","41,300","39,720","1,580",3.8,110,"17,130",
Gratiot County,"28,360","18,210","17,340",870,4.8,10,"10,150",
Hillsdale County,"34,390","22,610","21,500","1,110",4.9,0,"11,780",
Houghton County,"26,040","15,520","14,400","1,120",7.2,30,"10,490",
Huron County,"27,830","16,410","15,540",870,5.3,0,"11,410",
Ingham County,"204,450","142,790","136,180","6,610",4.6,170,"61,480",
Ionia County,"41,130","28,280","27,070","1,220",4.3,20,"12,840",
Iosco County,"21,660","11,120","10,140",970,8.7,10,"10,540",
Iron County,"10,240","5,480","4,990",490,8.9,0,"4,760",
Isabella County,"45,910","31,170","29,460","1,720",5.5,30,"14,710",
Jackson County,"112,190","75,050","71,190","3,870",5.2,70,"37,070",
Kalakaska County,"12,600","7,910","7,410",500,6.3,10,"4,680",
Kalamazoo County,"176,470","123,390","118,140","5,240",4.2,90,"53,000",
Kent County,"417,230","298,800","286,220","12,580",4.2,160,"118,270",
Keweenaw County,"1,780","1,010",890,110,10.9,0,770,
Lake County,"8,640","4,270","3,920",350,8.2,0,"4,370",
Lapeer County,"64,210","43,090","40,990","2,100",4.9,30,"21,090",
Leelanau County,"16,420","10,440","9,920",520,5.0,20,"5,960",
Lenawee County,"71,360","48,100","46,170","1,930",4.0,30,"23,230",
Livingston County,"115,320","83,450","80,980","2,470",3.0,40,"31,830",
Luce County,"4,690","2,590","2,370",230,8.9,0,"2,100",
Mackinac County,"9,430","5,540","4,740",800,14.4,30,"3,870",
Macomb County,"610,310","406,560","390,460","16,100",4.0,830,"202,910",
Manistee County,"18,640","10,970","10,290",680,6.2,0,"7,670",
Marquette County,"48,660","31,660","29,820","1,840",5.8,60,"16,940",
Mason County,"21,760","13,580","12,620",960,7.1,40,"8,140",
Mecosta County,"29,100","17,500","16,310","1,190",6.8,10,"11,590",
Menominee County,"19,590","12,440","11,820",620,5.0,10,"7,140",
Midland County,"61,720","40,400","38,530","1,870",4.6,40,"21,280",
Missaukee County,"10,820","6,660","6,220",440,6.6,0,"4,170",
Monroe County,"109,460","72,660","70,140","2,520",3.5,50,"36,750",
Montcalm County,"43,950","28,060","26,540","1,530",5.5,10,"15,870",
Montmorency County,"8,380","3,820","3,370",460,12.0,0,"4,550",
Muskegon County,"122,750","80,730","76,620","4,110",5.1,40,"41,990",
Newaygo County,"34,830","21,760","20,540","1,210",5.6,10,"13,060",
Oakland County,"913,110","634,620","612,430","22,190",3.5,120,"278,370",
Oceana County,"19,730","12,080","11,230",850,7.0,0,"7,660",
Ogemaw County,"16,920","8,950","8,210",740,8.3,0,"7,960",
Ontonagon Coounty,"6,290","3,480","3,150",330,9.5,0,"2,810",
Osceola County,"17,410","10,660","10,010",650,6.1,0,"6,750",
Oscoda County,"7,470","3,610","3,290",320,8.9,0,"3,860",
Otsego County,"17,580","11,470","10,850",610,5.3,10,"6,100",
Ottawa County,"168,410","123,590","120,090","3,500",2.8,70,"44,740",
Presque Isle County,"11,640","5,990","5,390",600,10.0,10,"5,640",
Roscommon County,"20,710","9,850","8,990",860,8.7,0,"10,850",
Saginaw County,"154,680","97,140","90,240","6,900",7.1,40,"57,500",
Sanilac County,"33,360","20,720","19,490","1,240",6.0,10,"12,620",
Schoolcraft County,"6,710","3,730","3,270",460,12.3,0,"2,980",
Shiawassee County,"53,950","35,990","34,120","1,870",5.2,30,"17,930",
St. Clair County,"123,880","82,120","77,890","4,230",5.2,90,"41,670",
St. Joseph County,"46,440","31,110","29,730","1,380",4.4,10,"15,320",
Tuscola County,"43,290","27,420","25,780","1,640",6.0,10,"15,870",
Van Buren County,"56,060","37,310","35,280","2,030",5.4,10,"18,750",
Washtenaw County,"237,970","171,230","165,300","5,930",3.5,90,"66,650",
Wayne County,"1,510,390","924,890","848,490","76,400",8.3,410,"585,090",
Wexford County,"23,010","14,860","13,890",980,6.6,0,"8,140",
Minnesota,"3,648,640","2,643,260","2,547,700","95,570",3.6,"2,560","1,002,820",Minnesota
Aitkin County,"12,380","6,770","6,240",520,7.7,10,"5,610",
Anoka County,"218,130","170,460","164,880","5,580",3.3,150,"47,510",
Becker County,"22,600","14,720","13,790",930,6.3,20,"7,860",
Beltrami County,"27,850","18,790","17,460","1,330",7.1,0,"9,060",
Benton County,"25,310","19,500","18,840",660,3.4,20,"5,790",
Big Stone County,"4,440","2,630","2,490",140,5.3,0,"1,810",
Blue Earch County,"41,400","30,580","29,710",860,2.8,30,"10,790",
Brown County,"19,890","13,840","13,370",460,3.3,10,"6,050",
Carlton County,"23,240","15,130","14,330",800,5.3,40,"8,070",
Carver County,"49,070","38,540","37,550",990,2.6,40,"10,490",
Cass County,"20,810","12,470","11,630",840,6.7,10,"8,330",
Chippewa County,"9,920","6,640","6,280",360,5.4,0,"3,280",
Chisago County,"29,360","21,770","21,030",740,3.4,10,"7,580",
Clay County,"35,850","25,220","24,110","1,100",4.4,40,"10,590",
Clearwater County,"6,360","3,980","3,570",410,10.3,10,"2,370",
Cook County,"4,190","2,840","2,670",180,6.3,0,"1,350",
Cottonwood County,"9,120","5,980","5,820",160,2.7,0,"3,130",
Crow Wing County,"42,110","27,000","25,650","1,350",5.0,70,"15,040",
Dakota County,"261,240","205,280","200,530","4,750",2.3,480,"55,480",
Dodge County,"12,880","9,690","9,360",330,3.4,0,"3,190",
Douglas County,"25,320","17,030","16,390",640,3.8,10,"8,270",
Faribault County,"12,390","8,100","7,730",370,4.6,0,"4,290",
Fillmore County,"15,840","11,170","10,800",380,3.4,0,"4,660",
Freeborn County,"25,220","16,690","15,980",720,4.3,0,"8,530",
Goodhue County,"33,020","24,060","23,360",700,2.9,10,"8,950",
Grant County,"4,810","3,130","2,980",150,4.8,10,"1,670",
Hennepin County,"849,170","631,080","610,100","20,980",3.3,400,"217,680",
Houston County,"14,640","10,480","10,100",380,3.6,0,"4,150",
Hubbard County,"14,290","8,560","8,000",560,6.5,10,"5,720",
Isanti County,"23,080","17,000","16,270",730,4.3,10,"6,060",
Itasca County,"34,130","20,510","19,160","1,350",6.6,0,"13,610",
Jackson County,"8,590","5,820","5,660",170,2.9,0,"2,770",
Kanabec County,"11,300","7,640","7,170",470,6.2,0,"3,660",
Kandiyohi County,"30,870","21,800","21,020",780,3.6,20,"9,050",
Kittson County,"3,960","2,410","2,280",120,5.0,0,"1,550",
Koochiching County,"11,080","6,830","6,440",380,5.6,10,"4,250",
Lac qui Parle County,"6,140","3,960","3,830",130,3.3,10,"2,180",
Lake County,"8,600","5,470","5,180",280,5.1,10,"3,130",
Lake of the Woods County,"3,500","2,290","2,180",110,4.8,0,"1,210",
Le Sueur County,"19,040","13,900","13,400",500,3.6,10,"5,130",
Lincoln County,"4,910","3,200","3,090",110,3.4,0,"1,710",
Lyon County,"18,390","13,390","12,960",430,3.2,10,"5,000",
Mahnomen County,"3,820","2,370","2,220",160,6.8,0,"1,450",
Marshall County,"7,830","4,960","4,520",430,8.7,0,"2,870",
Martin County,"16,720","11,180","10,730",450,4.0,0,"5,540",
Mc Leod County,"25,940","19,100","18,440",660,3.5,0,"6,840",
Meeker County,"16,830","11,730","11,170",560,4.8,0,"5,090",
Mille Lacs County,"16,640","11,230","10,640",590,5.3,10,"5,400",
Morrison County,"23,430","15,900","15,040",860,5.4,60,"7,470",
Mower County,"29,340","19,200","18,570",630,3.3,0,"10,130",
Murray County,"7,050","4,700","4,530",170,3.6,10,"2,340",
Nicollet County,"20,900","15,990","15,590",400,2.5,10,"4,900",
Nobles County,"15,670","10,550","10,150",410,3.9,10,"5,100",
Norman County,"5,620","3,600","3,370",220,6.1,0,"2,020",
Olmsted County,"91,480","68,400","66,630","1,770",2.6,10,"23,070",
Otter Tail County,"43,530","27,860","26,440","1,410",5.1,10,"15,660",
Pennington County,"10,310","7,140","6,630",510,7.1,0,"3,170",
Pine County,"19,350","12,730","11,880",850,6.7,0,"6,620",
Pipestone County,"7,470","5,060","4,940",120,2.4,0,"2,410",
Polk County,"22,780","14,820","13,990",830,5.6,70,"7,890",
Pope County,"8,550","5,530","5,330",200,3.6,0,"3,020",
Ramsey County,"377,350","268,990","258,320","10,670",4.0,170,"108,190",
Red Lake County,"3,230","2,110","1,920",190,9.0,0,"1,120",
Redwood County,"12,480","8,280","8,040",240,2.9,10,"4,190",
Renville County,"12,830","8,600","8,270",330,3.8,10,"4,230",
Rice County,"37,560","27,420","26,430","1,000",3.6,20,"10,110",
Rock County,"7,280","4,970","4,890",80,1.6,20,"2,290",
Roseau County,"11,840","8,760","8,470",290,3.3,0,"3,080",
Scott County,"63,130","50,790","49,470","1,330",2.6,40,"12,300",
Sherburne County,"45,010","35,380","34,470",920,2.6,0,"9,630",
Sibley County,"11,390","8,150","7,930",220,2.7,10,"3,240",
St. Louis County,"152,940","97,690","92,250","5,440",5.6,270,"54,980",
Stearns County,"96,330","71,560","69,130","2,440",3.4,60,"24,710",
Steele County,"24,940","18,360","17,910",450,2.5,10,"6,570",
Stevens County,"7,280","4,990","4,790",200,4.0,0,"2,290",
Swift County,"8,060","5,430","5,190",230,4.2,0,"2,630",
Todd County,"18,390","11,810","11,200",620,5.2,10,"6,560",
Traverse County,"3,130","1,760","1,670",90,5.1,0,"1,370",
Wabasha County,"16,150","11,630","11,330",310,2.7,10,"4,510",
Wadena County,"10,120","6,240","5,930",310,5.0,0,"3,880",
Waseca County,"13,670","9,930","9,700",230,2.3,20,"3,720",
Washington County,"145,210","111,460","108,690","2,770",2.5,170,"33,580",
Watonwan County,"8,860","5,800","5,600",200,3.4,0,"3,060",
Wilkin County,"5,280","3,530","3,400",130,3.7,20,"1,730",
Winona County,"36,190","26,360","25,380",980,3.7,0,"9,820",
Wright County,"64,070","49,380","47,950","1,430",2.9,20,"14,660",
Yellow Medicine County,"8,310","5,500","5,210",290,5.3,10,"2,800",
Mississippi,"2,065,510","1,246,300","1,161,540","84,760",6.8,"9,740","809,460",Mississippi
Adams County,"25,850","14,100","12,840","1,260",8.9,30,"11,730",
Alcorn County,"26,670","15,530","14,840",690,4.4,10,"11,130",
Amite County,"10,550","5,470","4,990",490,9.0,10,"5,060",
Attala County,"14,770","7,880","7,330",550,7.0,0,"6,880",
Benton County,"6,020","3,100","2,880",220,7.1,0,"2,920",
Bolivar County,"28,090","15,520","13,750","1,770",11.4,10,"12,560",
Calhoun County,"11,510","6,650","6,220",430,6.5,30,"4,830",
Carroll County,"8,150","4,770","4,420",360,7.5,0,"3,370",
Chickasaw County,"14,300","8,460","8,020",440,5.2,0,"5,840",
Choctaw County,"7,180","3,900","3,520",380,9.7,0,"3,280",
Claiborne County,"7,310","3,830","3,230",600,15.7,10,"3,470",
Clarke County,"13,500","7,290","6,670",620,8.5,20,"6,190",
Clay County,"16,020","9,410","8,670",740,7.9,40,"6,580",
Coahoma County,"20,880","11,100","10,110","1,000",9.0,20,"9,750",
Copiah County,"20,860","11,520","10,580",940,8.2,0,"9,340",
Covington County,"14,150","8,080","7,450",620,7.7,0,"6,070",
De Soto County,"79,380","55,740","53,770","1,980",3.6,70,"23,570",
Forrest County,"51,620","32,590","30,260","2,330",7.1,220,"18,810",
Franklin County,"6,360","3,340","3,050",290,8.7,0,"3,020",
George County,"13,880","7,950","7,230",720,9.1,30,"5,900",
Greene County,"8,250","4,630","4,150",480,10.4,10,"3,620",
Grenada County,"17,060","9,850","9,280",580,5.9,40,"7,160",
Hancock County,"32,900","18,740","17,450","1,300",6.9,120,"14,030",
Harrison County,"138,500","86,840","81,680","5,160",5.9,"3,890","47,780",
Hinds County,"179,010","115,270","106,820","8,450",7.3,240,"63,500",
Holmes County,"14,940","7,230","6,270",960,13.3,20,"7,690",
Humphreys County,"7,880","4,130","3,660",470,11.4,0,"3,760",
Issaquena County,"1,460",810,700,110,13.6,0,650,
Itawamba County,"17,080","10,270","9,840",430,4.2,10,"6,790",
Jackson County,"97,080","60,470","56,420","4,050",6.7,"1,730","34,880",
Jasper County,"13,520","7,210","6,620",590,8.2,10,"6,300",
Jefferson County,"6,690","3,100","2,660",440,14.2,0,"3,590",
Jefferson Davis County,"10,400","5,400","4,700",700,13.0,10,"4,990",
Jones County,"48,700","28,070","26,590","1,490",5.3,50,"20,570",
Kemper County,"7,740","4,190","3,790",400,9.5,0,"3,550",
Lafayette County,"27,090","17,220","16,380",830,4.8,60,"9,820",
Lamar County,"28,800","19,020","18,210",810,4.3,180,"9,600",
Lauderdale County,"56,460","33,390","31,070","2,320",6.9,710,"22,350",
Lawrence County,"10,020","5,440","5,100",340,6.3,30,"4,550",
Leake County,"15,140","8,340","7,750",590,7.1,10,"6,790",
Lee County,"55,730","37,820","36,110","1,710",4.5,70,"17,840",
Leflore County,"25,010","13,800","12,220","1,580",11.4,10,"11,200",
Lincoln County,"24,660","14,100","13,130",970,6.9,10,"10,560",
Lowndes County,"44,110","26,390","24,430","1,960",7.4,960,"16,760",
Madison County,"53,430","36,880","35,130","1,750",4.7,70,"16,470",
Marion County,"18,680","10,340","9,620",730,7.1,0,"8,340",
Marshall County,"25,050","14,910","13,650","1,260",8.5,10,"10,130",
Monroe County,"28,570","16,720","15,600","1,120",6.7,30,"11,810",
Montgomery County,"9,150","5,070","4,720",350,6.9,20,"4,060",
Neshoba County,"20,940","12,870","11,950",920,7.1,40,"8,030",
Newton County,"16,000","9,190","8,750",440,4.8,140,"6,670",
Noxubee County,"8,970","4,470","4,050",420,9.4,0,"4,500",
Oktibbeha County,"30,610","18,900","17,760","1,140",6.0,40,"11,660",
Panola County,"24,850","13,970","12,880","1,090",7.8,40,"10,850",
Pearl River County,"36,100","20,430","18,980","1,450",7.1,110,"15,560",
Perry County,"9,070","4,980","4,640",340,6.8,10,"4,080",
Pike County,"28,570","15,620","14,160","1,460",9.3,20,"12,930",
Pontotoc County,"19,910","13,120","12,400",720,5.5,0,"6,790",
Prentiss County,"19,070","11,280","10,790",490,4.3,30,"7,760",
Quitman County,"7,130","3,810","3,490",320,8.4,0,"3,320",
Rankin County,"84,200","59,310","57,090","2,220",3.7,200,"24,700",
Scott County,"20,920","12,190","11,460",730,6.0,20,"8,710",
Sharkey County,"4,590","2,570","2,200",370,14.4,0,"2,020",
Simpson County,"19,960","11,170","10,520",650,5.8,70,"8,730",
Smith County,"12,090","6,950","6,560",390,5.6,0,"5,140",
Stone County,"9,710","5,920","5,580",340,5.7,20,"3,770",
Sunflower County,"20,680","11,530","10,260","1,270",11.0,30,"9,130",
Tallahatchie County,"10,850","5,620","5,080",540,9.6,0,"5,240",
Tate County,"18,120","11,210","10,520",690,6.2,40,"6,880",
Tippah County,"15,860","9,150","8,670",480,5.2,0,"6,710",
Tishomingo County,"14,990","8,470","7,990",480,5.7,0,"6,520",
Tunica County,"6,540","4,000","3,630",370,9.3,10,"2,530",
Union County,"19,320","11,890","11,320",570,4.8,20,"7,400",
Walthall County,"11,230","6,270","5,660",610,9.7,10,"4,960",
Warren County,"36,640","23,400","21,860","1,540",6.6,40,"13,200",
Washington County,"44,670","25,660","22,670","2,990",11.7,20,"18,990",
Wayne County,"15,580","8,420","7,780",640,7.6,20,"7,140",
Webster County,"7,790","4,460","4,160",300,6.7,20,"3,320",
Wilkinson County,"6,910","3,360","3,010",350,10.4,10,"3,540",
Winston County,"14,850","8,410","7,790",620,7.4,0,"6,430",
Yalobusha County,"10,010","5,460","5,080",380,7.0,0,"4,550",
Yazoo County,"18,670","10,390","9,310","1,080",10.4,10,"8,270",
Missouri,"4,172,300","2,766,370","2,636,910","129,470",4.7,"9,930","1,395,990",Missouri
Adair County,"17,920","11,850","11,300",550,4.6,0,"6,070",
